bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-1102_ses-170914idSA197_acq-ADNIMPR_T1w	0.8089462330986448	1.0696662471563336	0.44280223247529044	6681.744016649323	3.9346333333333328	4.10277	4.01539	3.68574	0.27443820262550955	0.3532737662504962	0.3722880311239941	0.7038848996162415	0.3326773643493651	0.0	0.0003490547801054895	9.584465940936548	9.43986408832151	9.525468756728166	208	240	256	1.8141261731269165	3.5826763802494472	4.65042048443565	8.554458899930586	25.18687465102604	61.70525124256435	56.58175370788516	82.85313523006509	1.0	1.0	1.0	42.25421974019845	0.0	3.8379995374699485	0.0	4364018.0	0.0	18.486577816307545	7.2668896853182945	-0.5101100602358661	131.5989001316968	305.2514032491134	279.3773015923798	362586.9298489682	96.8112890906632	599.2658598348498	154.00081894797378	1.2877853088261828	88.78171937135897	669.3934245710439	684.4456418305635	466744.23996188585	306.57645316421986	981.4692222476006	191.0429064680914	-0.8117504857638695	100.97773104275689	899.3623782173399	919.0217392891645	491865.8296598933	708.0182398594916	1047.8528425879776	107.43178683998346	0.19571880386890986	0.5050465313608471	0.5437374243717389	0.3984393678343161
sub-1102_ses-170914idSA197_acq-MGHMPR_T1w	0.9570925766630383	0.8538709811005792	0.5032139229685253	6239.061500244647	4.181491707196402	4.140837746813163	4.592837431561389	3.8107999432146555	0.2700833823802211	0.3390111578510863	0.3909054597686927	0.6847593784332275	0.31400481462478635	0.0	0.0003587024241372378	8.209447630155589	8.050659784121622	8.123913494116119	208	320	320	2.5493851352984485	4.25905923243926	5.622895300047786	10.06024153240565	28.41818646866447	60.84213646096829	54.65044069741064	74.69099916259914	0.7999999523162842	0.800000011920929	0.800000011920929	1700.3123299908548	8.210566817974742	8.613182791578872	5.537943162024021	6189171.0	0.0	30.779727574437857	24.62619417877811	0.4193814058101668	100.31170764569141	383.26970076729475	356.1539533548057	694302.5403656451	189.93539844825864	652.2332624085248	139.70180179534267	2.600534482270467	74.60906369377048	746.6212830531781	762.5105653740466	871494.965865568	392.3111039996147	1026.0845558680594	179.03252485748672	-0.6541967591736881	91.5061722177185	928.9304015304941	936.0729144737124	1004899.4920321304	771.3391704149544	1071.3110916912556	93.04671718903172	0.18505326979190073	0.4797693836977194	0.525854940459328	0.6107401879925641
sub-1102_ses-191010idSA197_acq-ADNIMPR_T1w	0.828962704846807	1.0361042437294912	0.4408369117203566	7143.5859158587255	3.919523333333333	4.11339	4.0073	3.63788	0.2754493509790446	0.3533418535531237	0.37120879546783153	0.6479503214359283	0.2914765402674675	0.0	0.00021363506465515205	9.59202516386047	9.439265960396039	9.514655751406396	208	240	256	2.01581515958401	3.6786439379988995	4.649225846452993	8.25321844177607	24.443752765307732	62.231924220373664	56.428327955562814	82.60930688100704	1.0	1.0	1.0	7.5826377319646046	0.0	4.587582301368683	0.0	3666114.0	0.0	18.95970605313778	7.164459743153864	-0.4712937366352077	112.97828816060215	292.6703921361521	267.3127041310072	364068.56875066523	115.94147519767284	543.39666621387	132.60756361575054	1.457477839470143	81.60331746005795	662.8676776379041	680.5576912164688	467021.1145735446	305.80665278434753	966.7917989641428	185.0021296083192	-0.8213683663139548	103.12569555147198	881.0234901141002	903.4012666046619	490636.31623482506	690.439719825983	1029.9908191412687	109.46037019799357	0.18547893829420356	0.5028223807449204	0.545942141320703	0.4519128322876847
sub-1102_ses-191010idSA197_acq-MGHMPR_T1w	0.9633935131940858	0.8650553259774078	0.49475289798654215	7175.591091171286	4.19064170754807	4.160487747984394	4.591374931583182	3.8200624430766337	0.27031932810655984	0.339855262736178	0.38982540915726227	0.6620102524757385	0.2954384684562683	0.0	0.00011176362704483772	8.1725167952031	8.013654169370493	8.08587422728982	208	320	320	2.6034382957940103	4.084745551287099	5.438861156075895	9.628399621146574	32.16474075242496	70.44785855257798	63.32520244398546	87.36300802695345	0.7999999523162842	0.800000011920929	0.800000011920929	1661.0625351311512	7.002183585560735	9.46467032304352	4.722901057451963	5710812.0	0.0	36.164871733635664	17.170241321055517	0.4430279283721372	95.53328794006289	366.213137540936	343.7809587903321	698197.249948793	177.3234669752419	616.4541834779084	132.0487269292227	1.5637742686781717	77.75851422287025	734.7414461960651	752.9559322223067	877798.9035600366	369.5422372855246	1023.7796292230487	184.33351450650397	-0.6981693908620619	96.4146816781055	926.2402575540947	933.747263610363	1006864.8458850571	762.7650344185531	1074.2783405296504	96.97840104901948	0.1824376086273987	0.47931996930121556	0.5268468885700642	0.6894432657838906
sub-1102_ses-211116idSA197_acq-ADNIMPR_T1w	0.8394339931252648	1.0467030815857656	0.4416703542887487	-1.0	3.98639	4.16859	4.09815	3.69243	0.2785156384842985	0.35225330237129415	0.36923105914440735	0.6603802442550659	0.27882361412048345	0.0	0.0003964432979184872	9.55697937744363	9.407686035489869	9.483302934311038	208	240	256	2.027191615147807	3.557798704742209	4.581852750086978	8.160567930370917	12.3911340594801	31.97990360404252	29.090646925871795	42.90090311409277	1.0	1.0	1.0	2554.6894897081497	0.0	4.483348260055105	0.0	3678844.0	0.0	18.125323578715324	13.892770493432664	-0.5049181513705956	114.50306047765356	284.8319510702366	262.7654052525759	369466.31272106245	109.68410097062588	526.5665432810783	129.62023307889046	1.2882657666301451	87.37448557682372	659.1623429001386	678.1632972508669	467283.3794152518	294.5969258993864	973.6233337968588	190.61296826657968	-0.9042521518022557	107.02990588233062	888.1357094429748	909.7531459480524	489805.3075460156	693.6992888897657	1039.7721337527037	111.48148327682559	0.1815293159476218	0.49843689288762005	0.5439222304347087	0.495981479041578
sub-1102_ses-211116idSA197_acq-MGHMPR_T1w	0.9243559809546366	0.9221548015018713	0.4955464312414567	3327.2753842277652	4.178820874167363	4.151487747447953	4.598199931481481	3.7867749435726563	0.2747984181051313	0.3391645862102322	0.3860369956846365	0.550576388835907	0.2290469288825988	0.0	8.591641485309348e-05	8.208058904075077	8.056584672865842	8.128995744818138	208	320	320	2.5847942373959047	4.028148546596272	5.451910180662211	9.742787757994458	23.80719178639941	52.82416145164307	47.708544288398905	66.49427962715421	0.7999999523162842	0.800000011920929	0.800000011920929	709.0488731087079	9.151220745645167	10.545287978252823	6.17240459471941	5573358.0	0.0	37.40082601457834	15.323196296669094	0.3270375395541989	97.52944849468412	352.4229245713137	332.5488667264581	706753.2276431886	166.1194186359644	591.8180442005396	128.65574622922995	0.7289938815164136	80.35523969806236	718.168041461856	737.8701017796993	872296.382414554	358.70407889038324	1006.8911148235202	183.17836849789649	-0.7892125975563258	96.15049742342252	919.1098931122311	928.8200612738729	992847.3918121944	755.5981496796012	1059.1733546555042	95.33406829640798	0.17894183803399202	0.4757263593515281	0.5276205243994273	0.8047422529364362
sub-1103_ses-191022idSA255_acq-ADNIMPR_T1w	1.0846788480167122	0.7943285470098737	0.5207625234317275	-1.0	3.44089	3.54089	3.59809	3.18369	0.2595983755981728	0.34978690196117124	0.3906147224406559	0.7249884307384491	0.3185174077749252	0.0	0.0004180921975805389	9.51996190160267	9.356213493961183	9.462524386526667	208	240	256	2.141778851851421	3.2089438800352363	4.589795760280002	8.418664548953352	14.632116787542765	30.89201428122044	28.311709901894933	39.4109986369216	1.0	1.0	1.0	3117.106685511402	0.0	4.456845756582537	0.0	3424475.0	0.0	20.63477422297001	15.23189718968346	-0.23704797437707947	123.81313337357459	365.41654287453315	340.1961768195033	344407.0881118383	128.57407525926828	658.6009216681123	158.83791299850827	5.098990453592453	100.07942470473425	687.7700571468614	718.2381951510906	464059.4845268978	276.30240282416344	1032.0163090080023	223.82361553746574	-0.8458849715493004	114.75865492187827	911.5298373011685	916.3042679056525	518225.4273333256	735.1253982707858	1077.357292726636	108.84189273705015	0.2056004268070189	0.48150872857786403	0.499574229949279	0.3735101086300543
sub-1103_ses-191022idSA255_acq-MGHMPR_T1w	1.120082937472468	0.7378870023704035	0.5734453271464376	4462.999842770827	3.7736750345656076	3.656000217914594	4.271887436343917	3.393137449438312	0.2625981264289275	0.33943930496258223	0.3979625686084903	0.7501979470252991	0.3111035168170928	0.0	0.0007432658383549695	8.19081591411343	8.033437942012167	8.134229456000867	208	320	320	2.2763316618601044	3.581445994944345	5.253372174739558	9.902338867414223	23.226020915851123	45.093311337591516	41.25105780120186	55.43384115016294	0.7999999523162842	0.800000011920929	0.800000011920929	441.1633652659337	11.13977040824582	12.565750567251294	7.5136609598994255	5248864.0	0.0	41.78720533847809	43.40901367999874	0.22942752215462825	120.21420686545488	414.89210044143607	394.9292704537511	673748.5382596708	121.9864955842495	731.8386134952307	173.4936011246023	2.889739816844278	102.16420454621165	737.3064936857423	766.7550379559398	870900.1037306162	342.2532837241888	1062.5602357462049	214.09078870093478	-0.6250924314335831	94.77740491721443	942.4191244997018	942.582740418613	1021053.3583323302	787.6084606200457	1096.0301800221205	95.18784314143964	0.18942691139736748	0.46166717861852413	0.4784498491191238	0.45754910183144465
sub-1141_ses-171018idSA164_acq-ADNIMPR_T1w	0.8074309025298756	0.9876778794771796	0.4938770000054689	12985.793049676988	3.6880699999999997	3.77554	3.82895	3.45972	0.2619860127436865	0.3530210213906359	0.3849929658656776	0.5364213585853577	0.16505670547485352	0.0	0.0005661075947553563	7.753066952316152	7.607731583899932	7.70674028266858	208	240	256	2.130434990305047	3.3330282385621746	4.939470401940725	9.354947976954955	12.442914775396195	27.738130663744595	25.678767364346566	36.855256653898905	1.0	1.0	1.0	5489.68126727808	0.0	4.040574154159917	0.0	4606408.0	0.0	15.708728477358818	16.910815497028207	-0.15055516522061207	115.19742401086316	351.96543587469927	321.1847731433809	426246.2650044199	144.27806458994746	641.5987909175456	150.76000809465557	3.5890579521268196	93.15918276173724	690.0970599544659	715.9950353652239	574358.4944094699	276.7011775486171	1023.6732382290065	214.8179855727994	-0.7725371320398562	96.85943067517073	933.2290003425468	951.3323414325714	626376.2406039893	750.7524322532117	1074.3595794141293	101.69287786336018	0.19310539848613092	0.48025436312349074	0.5043655685855343	0.49569707401032703
sub-1141_ses-171018idSA164_acq-MGHMPR_T1w	0.8694180841786098	0.8806172894456982	0.5404115099826404	5556.437644176257	3.9249083702967247	3.8432877290778	4.354412435114199	3.5770249466981743	0.2574852560100039	0.34117407420722473	0.40134066978277133	0.4982272684574127	0.14506733864545823	0.0	0.0010101167718911633	6.622727264628883	6.481897941327027	6.582296995892049	208	320	320	2.3421488053900505	3.6176087887325874	5.641255200435142	10.964008007182786	45.3657346403715	89.81537082034468	83.09013035812653	114.08928561366338	0.7999999523162842	0.800000011920929	0.800000011920929	370.5499378818515	5.556433741385706	10.401879615527422	3.7477576062083244	6186180.0	0.0	29.547869419679046	50.27419445800735	0.45839680304470143	111.46748176316447	411.33039386212937	384.7621635105461	815038.1656249488	157.4286716412753	722.1746089719236	164.27731943660328	2.8723981986436655	90.42757107169786	733.3516946323558	761.7545856423676	1079944.9098935705	336.3155407961458	1050.8118171114475	210.56843828240838	-0.7134072573748713	88.56413292672094	959.1749373230494	967.6298799980432	1270394.9280798018	804.808093752712	1090.0718632545322	88.25508869802296	0.1962434434731358	0.4640139630687221	0.4910169042900631	0.7589167293974263
